Blockno,UnixTimestamp,DateTime (UTC),Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $3083.38454496098/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Total Value,Net Value,Fee Ratio,Time Gap,Block Gap,Total Value_z,Net Value_z,Fee Ratio_z,Time Gap_z,Block Gap_z,IF_Score,StatScore,TempScore,FinalScore,FraudFlag
19557354,1711930391,2024-04-01 00:13:11,0.0,0,0.0,0.0027230120842101,8.39609337619559,3505.52,0.0,0.0,0.0027230130842101,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.2194672401115,0.2684558494878098,0.2838503468984646,0.0303411232866592,0.10711841901359968,0.05263157917459557,0.057832403182328615,0
19557355,1711930403,2024-04-01 00:13:23,0.0,0,0.0,0.0028414464068725,8.76127193628565,3505.52,0.0,0.0,0.0028414474068725,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.2193769122266943,0.2684558494878098,0.2838503468984646,0.0300604005667803,0.10711947601250364,0.05263157917459557,0.05769235892206036,0
19557355,1711930403,2024-04-01 00:13:23,1.0,0,3083.38454496098,0.0101787038959182,31.3848582804084,3505.52,1.0,1.0,1.0101787048959183,0.0,0.0,0.545073364079193,0.545073364079193,0.5489024320503757,-0.7720706989145539,-0.7729268195142854,0.3799502701625861,0.017937275032448054,0.2225080372696292,0.2398579250449533,0
19557356,1711930415,2024-04-01 00:13:35,0.0,0,0.0,0.0019066327399398,5.87888192324728,3505.52,0.0,0.0,0.0019066337399398,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.2200898790366806,0.2684558494878098,0.2838503468984646,0.0324368193111156,0.1071111330170007,0.0526315791957746,0.058878065399812926,0
19557357,1711930427,2024-04-01 00:13:47,0.0,0,0.0,0.0038342704761544,11.8225303273749,3505.52,0.0,0.0,0.0038342714761544,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.2186197018492764,0.2684558494878098,0.2838503468984646,0.0322661332117292,0.10712833673741412,0.052631579188389906,0.058797883464766824,0
19557358,1711930439,2024-04-01 00:13:59,0.0,0,0.0,0.0007622255581412,2.35023450574701,3505.52,0.0,0.0,0.0007622265581412,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.2209626993286748,0.2684558494878098,0.2838503468984646,0.0503065468528129,0.10710091944791304,0.052631579084742024,0.06780986507772876,0
19557359,1711930451,2024-04-01 00:14:11,0.0,0,0.0,0.0027950106350453,8.61809259510049,3505.52,0.0,0.0,0.0027950116350453,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.2194123280162575,0.2684558494878098,0.2838503468984646,0.0300604005667803,0.1071190615839932,0.052631579084742024,0.057692234575536516,0
19557360,1711930463,2024-04-01 00:14:23,0.0,0,0.0,0.0020722263470704,6.38947069221807,3505.52,0.0,0.0,0.0020722273470704,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.2199635835512739,0.2684558494878098,0.2838503468984646,0.0326404570316877,0.10711261090159789,0.05263157899799329,0.05898032758592188,0
19557361,1711930475,2024-04-01 00:14:35,0.0,0,0.0,0.0031535761472489,9.72368795378511,3505.52,0.0,0.0,0.0031535771472489,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.2191388560737198,0.2684558494878098,0.2838503468984646,0.0299815017898721,0.10712226169815674,0.05263157899799329,0.05765374520398173,0
19557362,1711930487,2024-04-01 00:14:47,0.0,0,0.0,0.0018507121966142,5.70645738421113,3505.52,0.0,0.0,0.0018507131966141,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.2201325287034515,0.2684558494878098,0.2838503468984646,0.0330138871916755,0.107110633939101,0.05263157899799329,0.059166449577166706,0
19557363,1711930499,2024-04-01 00:14:59,0.677,0,2087.45133693858,0.0027029824516369,8.3343343166781,3505.52,0.677,0.677,0.6797029834516369,12.0,1.0,0.2983248739831261,0.2983248739831261,0.2968541049552516,0.2684558494878098,0.2838503468984646,0.3479439970493332,0.11920237670853688,0.19286566654337386,0.24830584484590246,0
19557363,1711930499,2024-04-01 00:14:59,0.0,0,0.0,0.0022868505485816,7.05123963813228,3505.52,0.0,0.0,0.0022868515485815,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.2197998932483718,-0.7720706989145539,-0.7729268195142854,0.002377437239486,1.7305208024432432e-05,0.052631579108289035,0.011720226003808138,0
19557365,1711930523,2024-04-01 00:15:23,0.0,0,0.0,0.00321138,9.90191945999679,3505.52,0.0,0.0,0.0032113809999999,24.0,2.0,-0.2188538498405188,-0.2188538498405188,-0.2190947700382255,1.3089823978901738,1.3406275133112149,0.13709752594844,0.21421999874902845,0.05263157890885388,0.1433410783806993,0
19557365,1711930523,2024-04-01 00:15:23,0.0,0,0.0,0.006994596,21.5670292046459,3505.52,0.0,0.0,0.006994597,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.2162093742225445,-0.7720706989145539,-0.7729268195142854,0.0226288858280432,5.932074600763951e-05,0.05263157890885388,0.021858554919594667,0
